,clickbait
18517,0
19884,0
23454,0
16359,0
19576,0
25300,0
30583,0
3261,1
18039,0
1335,1
578,1
8336,1
12967,1
21661,0
3532,1
11341,1
23290,0
30295,0
7259,1
8135,1
2785,1
10326,1
15222,1
3033,1
31976,0
22940,0
22928,0
8638,1
2191,1
5684,1
10105,1
15795,1
10107,1
24391,0
13755,1
20104,0
9508,1
7035,1
8953,1
27051,0
1336,1
4317,1
31487,0
28792,0
22787,0
21246,0
18201,0
10551,1
21562,0
8583,1
22384,0
1888,1
5881,1
25848,0
14684,1
8957,1
19442,0
1952,1
25616,0
1782,1
26209,0
15042,1
18032,0
4070,1
2247,1
21779,0
11047,1
12446,1
22633,0
19738,0
19651,0
6716,1
14689,1
2469,1
22850,0
14884,1
15765,1
11356,1
16955,0
22309,0
23257,0
21430,0
18656,0
9858,1
21344,0
28832,0
18946,0
28579,0
21558,0
8610,1
13086,1
17315,0
22797,0
1671,1
7249,1
28773,0
1986,1
28406,0
16909,0
6488,1
15982,1
16653,0
21830,0
25231,0
6151,1
19157,0
22001,0
4034,1
8465,1
4731,1
30689,0
20036,0
16876,0
4826,1
3197,1
12948,1
22687,0
2561,1
5639,1
16111,0
10832,1
18928,0
29341,0
20436,0
8051,1
20677,0
22246,0
16659,0
12549,1
17973,0
20293,0
9918,1
24742,0
26794,0
20172,0
19136,0
25900,0
26280,0
14507,1
18168,0
14365,1
26597,0
31695,0
16921,0
10438,1
1493,1
21189,0
12691,1
5998,1
26198,0
8024,1
3776,1
26018,0
31445,0
26906,0
19318,0
8869,1
10761,1
10044,1
5394,1
1057,1
1896,1
30215,0
13039,1
17606,0
13044,1
7134,1
13519,1
12132,1
18158,0
16449,0
13193,1
16053,0
21385,0
27756,0
20551,0
13658,1
12374,1
16497,0
17578,0
9585,1
21254,0
20571,0
18341,0
13436,1
12611,1
1639,1
17938,0
21938,0
31631,0
12930,1
19295,0
23861,0
26660,0
7229,1
11263,1
11162,1
12653,1
26566,0
12229,1
28424,0
22399,0
8626,1
18414,0
5423,1
3613,1
26341,0
1443,1
24640,0
6121,1
16555,0
770,1
30350,0
26095,0
22484,0
19053,0
24564,0
25663,0
291,1
12633,1
29032,0
22594,0
15600,1
22271,0
26654,0
4100,1
6105,1
13135,1
9160,1
5522,1
18403,0
29252,0
2796,1
30147,0
30668,0
10773,1
24086,0
2501,1
28438,0
28136,0
10352,1
2424,1
9558,1
14153,1
29789,0
24714,0
13364,1
6548,1
9000,1
27334,0
25555,0
10292,1
21359,0
3886,1
28574,0
15165,1
29064,0
7577,1
7488,1
17398,0
25315,0
13230,1
7959,1
29282,0
16916,0
4545,1
5269,1
6686,1
28462,0
5832,1
31846,0
12329,1
28271,0
1189,1
16872,0
21726,0
3164,1
6737,1
2368,1
9914,1
10649,1
19154,0
15842,1
11033,1
25209,0
1152,1
7378,1
17696,0
21185,0
20186,0
16862,0
4258,1
7862,1
19577,0
20479,0
8852,1
8439,1
7818,1
10524,1
12787,1
15328,1
2713,1
18747,0
713,1
20111,0
29911,0
18534,0
22818,0
14176,1
31202,0
12452,1
25846,0
6516,1
602,1
11306,1
20089,0
2083,1
10098,1
11200,1
19538,0
5873,1
9468,1
5191,1
7542,1
13138,1
23793,0
6825,1
13414,1
9741,1
12255,1
2707,1
23069,0
30205,0
11758,1
9617,1
3652,1
1042,1
18331,0
24390,0
26331,0
20278,0
20512,0
18840,0
2365,1
4359,1
2160,1
11046,1
4978,1
868,1
26837,0
1504,1
23518,0
16929,0
